Date,Time,SchName,CNav,PNav,NCvalue,PChange,Link,Realdt,Category
2024-09-02,22:48:49,Nippon India ETF BSE Sensex,929.9234,927.7525,2.1709,0.23 %,https://etf.nipponindiaim.com/Funds/details/15,"Monday, 02 September 2024 10:48:49 PM",Broad Market
2024-09-02,22:48:49,Nippon India ETF Nifty Midcap 150,224.5239,225.1787,-0.6548,-0.29 %,https://etf.nipponindiaim.com/Funds/details/1017,"Monday, 02 September 2024 10:48:49 PM",Broad Market
2024-09-02,22:48:49,Nippon India ETF Nifty Next 50 Junior BeES,802.9110,802.2971,0.6139,0.08 %,https://etf.nipponindiaim.com/Funds/details/1,"Monday, 02 September 2024 10:48:49 PM",Broad Market
2024-09-02,22:48:49,Nippon India ETF Nifty 50 BeES,281.8737,281.3983,0.4754,0.17 %,https://etf.nipponindiaim.com/Funds/details/14,"Monday, 02 September 2024 10:48:49 PM",Broad Market
2024-09-02,22:48:49,Nippon India ETF Nifty 100,276.3077,275.6664,0.6413,0.23 %,https://etf.nipponindiaim.com/Funds/details/2,"Monday, 02 September 2024 10:48:49 PM",Broad Market
2024-09-02,22:48:49,Nippon India ETF BSE Sensex Next 50,90.0210,89.9621,0.0589,0.07 %,https://etf.nipponindiaim.com/Funds/details/2017,"Monday, 02 September 2024 10:48:49 PM",Broad Market
2024-09-02,22:48:49,Nippon India ETF Gold BeES,60.1283,60.6167,-0.4883,-0.81 %,https://etf.nipponindiaim.com/Funds/details/13,"Monday, 02 September 2024 10:48:49 PM",Commodity ETF
2024-09-02,22:48:49,Nippon India Silver ETF,80.9437,83.3817,-2.4380,-2.92 %,https://etf.nipponindiaim.com/Funds/details/2025,"Monday, 02 September 2024 10:48:49 PM",Commodity ETF
2024-09-02,22:48:49,Nippon India ETF Nifty 5 yr Benchmark G-Sec,57.4967,57.4965,0.0002,0.00 %,https://etf.nipponindiaim.com/Funds/details/2022,"Monday, 02 September 2024 10:48:49 PM",Debt ETFs
2024-09-02,22:48:49,Nippon India ETF Nifty 1D Rate Liquid BeES,1000.0000,1000.0000,0.0000,0.00 %,https://etf.nipponindiaim.com/Funds/details/11,"Monday, 02 September 2024 10:48:49 PM",Debt ETFs
2024-09-02,22:48:49,Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,26.4595,26.4764,-0.0169,-0.06 %,https://etf.nipponindiaim.com/Funds/details/12,"Monday, 02 September 2024 10:48:49 PM",Debt ETFs
2024-09-02,22:48:49,Nippon India ETF Hang Seng BeES,271.2544,274.9725,-3.7181,-1.35 %,https://etf.nipponindiaim.com/Funds/details/9,"Monday, 02 September 2024 10:48:49 PM",International
2024-09-02,22:48:49,Nippon India ETF Nifty PSU Bank BeES,78.2218,77.8277,0.3941,0.51 %,https://etf.nipponindiaim.com/Funds/details/7,"Monday, 02 September 2024 10:48:49 PM",Sector
2024-09-02,22:48:49,Nippon India ETF Nifty IT,45.9539,45.7532,0.2007,0.44 %,https://etf.nipponindiaim.com/Funds/details/2018,"Monday, 02 September 2024 10:48:49 PM",Sector
2024-09-02,22:48:49,Nippon India ETF Nifty Bank BeES,528.1922,527.2859,0.9063,0.17 %,https://etf.nipponindiaim.com/Funds/details/6,"Monday, 02 September 2024 10:48:49 PM",Sector
2024-09-02,22:48:49,Nippon India Nifty Auto ETF,266.0883,267.1166,-1.0283,-0.39 %,https://etf.nipponindiaim.com/Funds/details/2024,"Monday, 02 September 2024 10:48:49 PM",Sector
2024-09-02,22:48:49,Nippon India Nifty Pharma ETF,23.4438,23.6793,-0.2355,-0.99 %,https://etf.nipponindiaim.com/Funds/details/2023,"Monday, 02 September 2024 10:48:49 PM",Sector
2024-09-02,22:48:49,Nippon India ETF Nifty 50 Value 20,165.1498,164.5545,0.5953,0.36 %,https://etf.nipponindiaim.com/Funds/details/16,"Monday, 02 September 2024 10:48:49 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:48:49,Nippon India ETF Nifty India Consumption,133.4803,133.2149,0.2654,0.20 %,https://etf.nipponindiaim.com/Funds/details/3,"Monday, 02 September 2024 10:48:49 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:48:49,Nippon India ETF Nifty Dividend Opportunities 50,88.4733,88.1837,0.2896,0.33 %,https://etf.nipponindiaim.com/Funds/details/4,"Monday, 02 September 2024 10:48:49 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:48:49,CPSE ETF,102.5418,103.4638,-0.9220,-0.89 %,https://etf.nipponindiaim.com/Funds/details/10,"Monday, 02 September 2024 10:48:49 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:48:49,Nippon India ETF Nifty 50 Shariah BeES,594.7086,593.9592,0.7494,0.13 %,https://etf.nipponindiaim.com/Funds/details/8,"Monday, 02 September 2024 10:48:49 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:48:49,Nippon India ETF Nifty Infrastructure BeES,973.0258,975.7404,-2.7146,-0.28 %,https://etf.nipponindiaim.com/Funds/details/5,"Monday, 02 September 2024 10:48:49 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:49:50,Nippon India ETF BSE Sensex,929.9234,927.7525,2.1709,0.23 %,https://etf.nipponindiaim.com/Funds/details/15,"Monday, 02 September 2024 10:49:50 PM",Broad Market
2024-09-02,22:49:50,Nippon India ETF Nifty Midcap 150,224.5239,225.1787,-0.6548,-0.29 %,https://etf.nipponindiaim.com/Funds/details/1017,"Monday, 02 September 2024 10:49:50 PM",Broad Market
2024-09-02,22:49:50,Nippon India ETF Nifty Next 50 Junior BeES,802.9110,802.2971,0.6139,0.08 %,https://etf.nipponindiaim.com/Funds/details/1,"Monday, 02 September 2024 10:49:50 PM",Broad Market
2024-09-02,22:49:50,Nippon India ETF Nifty 50 BeES,281.8737,281.3983,0.4754,0.17 %,https://etf.nipponindiaim.com/Funds/details/14,"Monday, 02 September 2024 10:49:50 PM",Broad Market
2024-09-02,22:49:50,Nippon India ETF Nifty 100,276.3077,275.6664,0.6413,0.23 %,https://etf.nipponindiaim.com/Funds/details/2,"Monday, 02 September 2024 10:49:50 PM",Broad Market
2024-09-02,22:49:50,Nippon India ETF BSE Sensex Next 50,90.0210,89.9621,0.0589,0.07 %,https://etf.nipponindiaim.com/Funds/details/2017,"Monday, 02 September 2024 10:49:50 PM",Broad Market
2024-09-02,22:49:50,Nippon India ETF Gold BeES,60.1283,60.6167,-0.4883,-0.81 %,https://etf.nipponindiaim.com/Funds/details/13,"Monday, 02 September 2024 10:49:50 PM",Commodity ETF
2024-09-02,22:49:50,Nippon India Silver ETF,80.9437,83.3817,-2.4380,-2.92 %,https://etf.nipponindiaim.com/Funds/details/2025,"Monday, 02 September 2024 10:49:50 PM",Commodity ETF
2024-09-02,22:49:50,Nippon India ETF Nifty 5 yr Benchmark G-Sec,57.4967,57.4965,0.0002,0.00 %,https://etf.nipponindiaim.com/Funds/details/2022,"Monday, 02 September 2024 10:49:50 PM",Debt ETFs
2024-09-02,22:49:50,Nippon India ETF Nifty 1D Rate Liquid BeES,1000.0000,1000.0000,0.0000,0.00 %,https://etf.nipponindiaim.com/Funds/details/11,"Monday, 02 September 2024 10:49:50 PM",Debt ETFs
2024-09-02,22:49:50,Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,26.4595,26.4764,-0.0169,-0.06 %,https://etf.nipponindiaim.com/Funds/details/12,"Monday, 02 September 2024 10:49:50 PM",Debt ETFs
2024-09-02,22:49:50,Nippon India ETF Hang Seng BeES,271.2544,274.9725,-3.7181,-1.35 %,https://etf.nipponindiaim.com/Funds/details/9,"Monday, 02 September 2024 10:49:50 PM",International
2024-09-02,22:49:50,Nippon India ETF Nifty PSU Bank BeES,78.2218,77.8277,0.3941,0.51 %,https://etf.nipponindiaim.com/Funds/details/7,"Monday, 02 September 2024 10:49:50 PM",Sector
2024-09-02,22:49:50,Nippon India ETF Nifty IT,45.9539,45.7532,0.2007,0.44 %,https://etf.nipponindiaim.com/Funds/details/2018,"Monday, 02 September 2024 10:49:50 PM",Sector
2024-09-02,22:49:50,Nippon India ETF Nifty Bank BeES,528.1922,527.2859,0.9063,0.17 %,https://etf.nipponindiaim.com/Funds/details/6,"Monday, 02 September 2024 10:49:50 PM",Sector
2024-09-02,22:49:50,Nippon India Nifty Auto ETF,266.0883,267.1166,-1.0283,-0.39 %,https://etf.nipponindiaim.com/Funds/details/2024,"Monday, 02 September 2024 10:49:50 PM",Sector
2024-09-02,22:49:50,Nippon India Nifty Pharma ETF,23.4438,23.6793,-0.2355,-0.99 %,https://etf.nipponindiaim.com/Funds/details/2023,"Monday, 02 September 2024 10:49:50 PM",Sector
2024-09-02,22:49:50,Nippon India ETF Nifty 50 Value 20,165.1498,164.5545,0.5953,0.36 %,https://etf.nipponindiaim.com/Funds/details/16,"Monday, 02 September 2024 10:49:50 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:49:50,Nippon India ETF Nifty India Consumption,133.4803,133.2149,0.2654,0.20 %,https://etf.nipponindiaim.com/Funds/details/3,"Monday, 02 September 2024 10:49:50 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:49:50,Nippon India ETF Nifty Dividend Opportunities 50,88.4733,88.1837,0.2896,0.33 %,https://etf.nipponindiaim.com/Funds/details/4,"Monday, 02 September 2024 10:49:50 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:49:50,CPSE ETF,102.5418,103.4638,-0.9220,-0.89 %,https://etf.nipponindiaim.com/Funds/details/10,"Monday, 02 September 2024 10:49:50 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:49:50,Nippon India ETF Nifty 50 Shariah BeES,594.7086,593.9592,0.7494,0.13 %,https://etf.nipponindiaim.com/Funds/details/8,"Monday, 02 September 2024 10:49:50 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:49:50,Nippon India ETF Nifty Infrastructure BeES,973.0258,975.7404,-2.7146,-0.28 %,https://etf.nipponindiaim.com/Funds/details/5,"Monday, 02 September 2024 10:49:50 PM",Thematic/Strategic/Smart Beta
2024-09-02,22:51:50,Nippon India ETF BSE Sensex,929.9234,927.7525,2.1709,0.23 %,https://etf.nipponindiaim.com/Funds/details/15,"Monday, 02 September 2024 10:51:50 PM",Broad Market
2024-09-02,22:51:50,Nippon India ETF Nifty Midcap 150,224.5239,225.1787,-0.6548,-0.29 %,https://etf.nipponindiaim.com/Funds/details/1017,"Monday, 02 September 2024 10:51:50 PM",Broad Market
2024-09-02,22:51:50,Nippon India ETF Nifty Next 50 Junior BeES,802.9110,802.2971,0.6139,0.08 %,https://etf.nipponindiaim.com/Funds/details/1,"Monday, 02 September 2024 10:51:50 PM",Broad Market
2024-09-02,22:51:50,Nippon India ETF Nifty 50 BeES,281.8737,281.3983,0.4754,0.17 %,https://etf.nipponindiaim.com/Funds/details/14,"Monday, 02 September 2024 10:51:50 PM",Broad Market
2024-09-02,22:51:50,Nippon India ETF Nifty 100,276.3077,275.6664,0.6413,0.23 %,https://etf.nipponindiaim.com/Funds/details/2,"Monday, 02 September 2024 10:51:50 PM",Broad Market
